predictor,cut_num,clusterID,response,spearman_correlation
landsatCcdc_nir_changeRatep035p050,0,153,DECIDUOUS_SHRUBS_corr,0.170728094
landsatCcdc_bluecc_changeRatep005p020,0,34,DECIDUOUS_SHRUBS_corr,0.166235583
landsatCcdc_bluecc_seasonalp050,0,6,DECIDUOUS_SHRUBS_corr,-0.161507103
landsatCcdc_tcwgd_changeRatep080p095,0,103,DECIDUOUS_SHRUBS_corr,0.148468591
climTerra_tapmm,0,18,DECIDUOUS_SHRUBS_corr,-0.145257195
landsatCcdc_redcc_seasonalp005,0,191,DECIDUOUS_SHRUBS_corr,0.142742057
landsatCcdc_red_amplitude,0,158,DECIDUOUS_SHRUBS_corr,0.141739445
predicted_cover_EVERGREEN_SHRUBS,0,51,DECIDUOUS_SHRUBS_corr,-0.129102991
landsatCcdc_tcb_changeRatep005p020,0,55,DECIDUOUS_SHRUBS_corr,-0.122573861
landsatCcdc_blue_changeRatep065p080,0,149,DECIDUOUS_SHRUBS_corr,0.117297156
landsatCcdc_swir2_changeRatep050p065,0,210,DECIDUOUS_SHRUBS_corr,0.116208794
landsatCcdc_tcb_changeRatep035p050,0,198,DECIDUOUS_SHRUBS_corr,0.086008403
landsatCcdc_btemp_changeRatep005p020,0,13,DECIDUOUS_SHRUBS_corr,-0.08098876
landsatCcdc_btemp_changeRatep080p095,0,194,DECIDUOUS_SHRUBS_corr,0.079348123
landsatCcdc_swir2_changeRatep035p050,0,67,DECIDUOUS_SHRUBS_corr,-0.078970877
landsatCcdc_bluecc_changeRatep080p095,0,116,DECIDUOUS_SHRUBS_corr,-0.07426164
landsatCcdc_green_changeRatep080p095,0,207,DECIDUOUS_SHRUBS_corr,-0.07251669
landsatCcdc_green_changeRatep035p050,0,32,DECIDUOUS_SHRUBS_corr,0.071129237
landsatCcdc_tcb_changeRatep020p035,0,33,DECIDUOUS_SHRUBS_corr,-0.063885619
topo_elevation_m,0,52,DECIDUOUS_SHRUBS_corr,-0.055328479
