response,cut_num,num_vars,corr_total,corr_avg,corr_median,corr_count_gt05,corr_percent_gt05,corr_count_gt07,corr_percent_gt07,corr_count_gt09,corr_percent_gt09
DECIDUOUS_SHRUBS_corr,0,81,6480,0.210538692,0.176817136,386,0.059567901,0,0,0,0
DECIDUOUS_SHRUBS_corr,1,81,6480,0.210538692,0.176817136,386,0.059567901,0,0,0,0
DECIDUOUS_SHRUBS_corr,2,80,6320,0.212003534,0.177901091,386,0.061075949,0,0,0,0
DECIDUOUS_SHRUBS_corr,3,71,4970,0.222228146,0.189141964,360,0.072434608,0,0,0,0
DECIDUOUS_SHRUBS_corr,4,65,4160,0.225057328,0.188957206,336,0.080769231,0,0,0,0
DECIDUOUS_SHRUBS_corr,5,52,2652,0.237269732,0.202487918,256,0.09653092,0,0,0,0
DECIDUOUS_SHRUBS_corr,6,45,1980,0.244205573,0.213640509,202,0.102020202,0,0,0,0
DECIDUOUS_SHRUBS_corr,7,36,1260,0.251720053,0.224497708,138,0.10952381,0,0,0,0
DECIDUOUS_SHRUBS_corr,8,32,992,0.254959927,0.227581126,110,0.110887097,0,0,0,0
DECIDUOUS_SHRUBS_corr,9,28,756,0.259621606,0.234536572,86,0.113756614,0,0,0,0
DECIDUOUS_SHRUBS_corr,10,23,506,0.263825308,0.236371604,68,0.134387352,0,0,0,0
DECIDUOUS_SHRUBS_corr,11,22,462,0.260561108,0.230819224,58,0.125541126,0,0,0,0
DECIDUOUS_SHRUBS_corr,12,21,420,0.264610639,0.235174882,56,0.133333333,0,0,0,0
DECIDUOUS_SHRUBS_corr,13,18,306,0.272511295,0.251911178,42,0.137254902,0,0,0,0
DECIDUOUS_SHRUBS_corr,14,16,240,0.295213646,0.266359523,42,0.175,0,0,0,0
DECIDUOUS_SHRUBS_corr,15,16,240,0.295213646,0.266359523,42,0.175,0,0,0,0
DECIDUOUS_SHRUBS_corr,16,15,210,0.305318352,0.270276646,40,0.19047619,0,0,0,0
DECIDUOUS_SHRUBS_corr,17,13,156,0.301728585,0.291712738,28,0.179487179,0,0,0,0
DECIDUOUS_SHRUBS_corr,18,13,156,0.301728585,0.291712738,28,0.179487179,0,0,0,0
DECIDUOUS_SHRUBS_corr,19,13,156,0.301728585,0.291712738,28,0.179487179,0,0,0,0
DECIDUOUS_SHRUBS_corr,20,13,156,0.301728585,0.291712738,28,0.179487179,0,0,0,0
